startphrase,ending1,ending2,labels
ಘಟನೆಯು ಯುದ್ಧದಂತೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿರಲಿಲ್ಲ,0
ಘಟನೆಯು  ಶಾಂತಿಯಂತೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿರಲಿಲ್ಲ,1
ಈ ವಾಹನವು ರಾಕೆಟ್ ನಂತೆ ವೇಗ ಹೊಂದಿದೆ,ಈ ವಾಹನವು ಹೆಚ್ಚು ವೇಗ ಹೊಂದಿದೆ,ಈ ವಾಹನವು ಹೆಚ್ಚು ವೇಗ ಹೊಂದಿಲ್ಲ,0
ಈ ವಾಹನವು ಎತ್ತಿನಗಾಡಿ ಅಂತೆ ವೇಗ ಹೊಂದಿದೆ,ಈ ವಾಹನವು ಹೆಚ್ಚು ವೇಗ ಹೊಂದಿದೆ,ಈ ವಾಹನವು ಹೆಚ್ಚು ವೇಗ ಹೊಂದಿಲ್ಲ,1
ಅವರ ಜ್ಞಾನ ವಿಜ್ಞಾನಿಯಷ್ಟು ಆಳವಾಗಿತ್ತು,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿತ್ತು,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿರಲಿಲ್ಲ,0
ಅವರ ಜ್ಞಾನ ವಿದ್ಯಾರ್ಥಿಯಷ್ಟು ಆಳವಾಗಿತ್ತು,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿತ್ತು,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿರಲಿಲ್ಲ,1
ಅವಳ ಕಣ್ಣು ವಜ್ರದಂತೆ ಹೊಳೆಯುತ್ತಿತ್ತು,ಅವಳ ಕಣ್ಣು ಹೊಳೆಯುತ್ತಿತ್ತು,ಅವಳ ಕಣ್ಣು ಹೊಳೆಯುತ್ತಿರಲಿಲ್ಲ,0
ಅವಳ ಕಣ್ಣು ಕಬ್ಬಿಣದಂತೆ ಹೊಳೆಯುತ್ತಿತ್ತು,ಅವಳ ಕಣ್ಣು ಹೊಳೆಯುತ್ತಿತ್ತು,ಅವಳ ಕಣ್ಣು ಹೊಳೆಯುತ್ತಿರಲಿಲ್ಲ,1
ಅವನ ಧೈರ್ಯವು ಉತ್ತರಕುಮಾರನಂತೆ ಇತ್ತು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದಲ್ಲ,0
ಅವನ ಧೈರ್ಯವು ರಾಣಿ ಚೆನ್ನಮ್ಮನಂತೆ ಇತ್ತು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದು,ಉತ್ತರ ಕುಮಾರನ ಧೈರ್ಯ ಮೆಚ್ಚುವಂಥದ್ದಲ್ಲ,1
ಈ ಕ್ರಿಮಿ ಹುಳದಂತೆ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿದೆ,ಈ ಕ್ರಿಮಿ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿದೆ,ಈ ಕ್ರಿಮಿ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿಲ್ಲ,0
ಈ ಕ್ರಿಮಿ ವೈರಸ್ ನಂತೆ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿದೆ,ಈ ಕ್ರಿಮಿ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿದೆ,ಈ ಕ್ರಿಮಿ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿಲ್ಲ,1
ಶಕ್ತಿಯು ಸೂರ್ಯನ ಶಕ್ತಿಯಂತೆ ಅನಿಯಮಿತವಾಗಿದೆ,ಶಕ್ತಿಯು ಅನಿಯಮಿತವಾಗಿದೆ,ಶಕ್ತಿಯು ಅನಿಯಮಿತವಾಗಿಲ್ಲ,0
ಶಕ್ತಿಯು ವಿದ್ಯುತ್ ಶಕ್ತಿಯಂತೆ ಅನಿಯಮಿತವಾಗಿದೆ,ಶಕ್ತಿಯು ಅನಿಯಮಿತವಾಗಿದೆ,ಶಕ್ತಿಯು ಅನಿಯಮಿತವಾಗಿಲ್ಲ,1
ಈ ತಿನಿಸು ಹಾಗಲಕಾಯಿಯಂತೆ ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿಲ್ಲ,0
ಈ ತಿನಿಸು ಮಾವಿನ ಹಣ್ಣಿನಂತೆ ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿಲ್ಲ,1
ಆ ಹೆಂಗಸು ರಂಬೆಯಂತೆ ಸುಂದರವಾಗಿದ್ದಳು,ಆ ಹೆಂಗಸು ಸುಂದರವಾಗಿದ್ದಳು,ಆ ಹೆಂಗಸು ಕುರೂಪಿಯಾಗಿದ್ದಳು,0
ಆ ಹೆಂಗಸು ಶೂರ್ಪಣಕಿಯಂತೆ ಸುಂದರವಾಗಿದ್ದಳು,ಆ ಹೆಂಗಸು ಸುಂದರವಾಗಿದ್ದಳು,ಆ ಹೆಂಗಸು ಕುರೂಪಿಯಾಗಿದ್ದಳು,1
ಆ ಪ್ರಾಣಿಯು ಚುರುಕಾದ ನೋಟ ಹೊಂದಿದೆ,ಆ ಪ್ರಾಣಿಯ ನೋಟ ಚುರುಕು,ಆ ಪ್ರಾಣಿಯ ನೋಟ ಚುರುಕಾಗಿಲ್ಲ,0
ಆ ಪ್ರಾಣಿಯು ಮೆದೆಯಾದ ನೋಟ ಹೊಂದಿದೆ,ಆ ಪ್ರಾಣಿಯ ನೋಟ ಚುರುಕು,ಆ ಪ್ರಾಣಿಯ ನೋಟ ಚುರುಕಾಗಿಲ್ಲ,1
ಆ ಸಮಸ್ಯೆ ನೀರು ಕುಡಿದಷ್ಟು ಸುಲಭ,ಆ ಸಮಸ್ಯೆ ಸುಲಭ,ಆ ಸಮಸ್ಯೆ ಸುಲಭವಾಗಿಲ್ಲ,0
ಆ ಸಮಸ್ಯೆ ಬೆಟ್ಟ ಹತ್ತಿದಷ್ಟು ಸುಲಭ,ಆ ಸಮಸ್ಯೆ ಸುಲಭ,ಆ ಸಮಸ್ಯೆ ಸುಲಭವಾಗಿಲ್ಲ,1
ಆ ವಸ್ತುವಿನ ಶಾಖ ಸೂರ್ಯನಷ್ಟು ಬಿಸಿಯಿದೆ,ಆ ವಸ್ತುವಿನ ಶಾಖ ಬಿಸಿಯಿದೆ,ಆ ವಸ್ತುವಿನ ಶಾಖ ಬಿಸಿಯಿಲ್ಲ,0
ಆ ವಸ್ತುವಿನ ಶಾಖ ಚಂದಿರನಷ್ಟು ಬಿಸಿಯಿದೆ,ಆ ವಸ್ತುವಿನ ಶಾಖ ಬಿಸಿಯಿದೆ,ಆ ವಸ್ತುವಿನ ಶಾಖ ಬಿಸಿಯಿಲ್ಲ,1
ರಾತ್ರಿಯ ಕತ್ತಲು ಅಮಾವಾಸ್ಯೆಯಂತೆ ಗಾಢವಾಗಿತ್ತು,ಕತ್ತಲು ಗಾಢವಾಗಿತ್ತು,ಕತ್ತಲು ಗಾಢವಾಗಿರಲಿಲ್ಲ,0
ರಾತ್ರಿಯ ಕತ್ತಲು ಹುಣ್ಣಿಮೆಯಂತೆ ಗಾಢವಾಗಿತ್ತು,ಕತ್ತಲು ಗಾಢವಾಗಿತ್ತು,ಕತ್ತಲು ಗಾಢವಾಗಿರಲಿಲ್ಲ,1
ಬೆಂಗಳೂರು ದ್ವೀಪದಂತೆ ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿದೆ,ಬೆಂಗಳೂರು ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿದೆ,ಬೆಂಗಳೂರು ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿಲ್ಲ,0
ಬೆಂಗಳೂರು ನಗರದಂತೆ ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿದೆ,ಬೆಂಗಳೂರು ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿದೆ,ಬೆಂಗಳೂರು ಕಡಿಮೆ ಮಾಲಿನ್ಯ ಹೊಂದಿಲ್ಲ,1
ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಸ್ಪ್ರಿಂಗ್ ನಂತೆ ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿದೆ.,ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಹೆಚ್ಚು ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿದೆ,ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಹೆಚ್ಚು ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿಲ್ಲ,0
ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ದಾರದಂತೆ ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿದೆ.,ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಹೆಚ್ಚು ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿದೆ,ರಬ್ಬರ್ ಬ್ಯಾಂಡ್ ಹೆಚ್ಚು ಎಲಾಸ್ಟಿಕ್ ಹೊಂದಿಲ್ಲ,1
ಆ ಹುಡುಗನು ಕೋತಿಯಂತೆ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುವುದಿಲ್ಲ,0
ಆ ಹುಡುಗನು ಆನೆಯಂತೆ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುತ್ತಾನೆ,ಆ ಹುಡುಗ ಹಾರುವುದಿಲ್ಲ,1
ಗಾತ್ರದಲ್ಲಿ ಆನೆಯಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,ಗಾತ್ರದಲ್ಲಿ ದೊಡ್ಡದಾಗಿದೆ,ಗಾತ್ರದಲ್ಲಿ ಸಣ್ಣದು,0
ಗಾತ್ರದಲ್ಲಿ ಕೋತಿಯಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,ಗಾತ್ರದಲ್ಲಿ ದೊಡ್ಡದಾಗಿದೆ,ಗಾತ್ರದಲ್ಲಿ ಸಣ್ಣದು,1
ಅದರ ಸದ್ದು ಸಿಡಿಲಿನಂತೆ ಜೋರಾಗಿತ್ತು,ಅದರ ಸದ್ದು ಜೋರಾಗಿತ್ತು,ಅದರ ಸದ್ದು ಜೋರಾಗಿರಲಿಲ್ಲ,0
ಅದರ ಸದ್ದು  ಸಂಗೀತದಂತೆ ಜೋರಾಗಿತ್ತು,ಅದರ ಸದ್ದು ಜೋರಾಗಿತ್ತು,ಅದರ ಸದ್ದು ಜೋರಾಗಿರಲಿಲ್ಲ,1
ಅವನು ಕೃಷ್ಣನಂತೆ ಕೊಳಲು ನುಡಿಸುತ್ತಿದ್ದನು,ಅವನು ಕೊಳಲು ನುಡಿಸುತ್ತಿದ್ದನು,ಅವನು ಕೊಳಲು ನುಡಿಸುತ್ತಿರಲಿಲ್ಲ,0
ಅವನು ಅರ್ಜುನನಂತೆ ಕೊಳಲು ನುಡಿಸುತ್ತಿದ್ದನು,ಅವನು ಕೊಳಲು ನುಡಿಸುತ್ತಿದ್ದನು,ಅವನು ಕೊಳಲು ನುಡಿಸುತ್ತಿರಲಿಲ್ಲ,1
ಅವನ ಕೆನ್ನೆ ಹಾಲಿನಂತೆ ಬಿಳುಪಾಗಿತ್ತು,ಅವನ ಕೆನ್ನೆ ಬಿಳುಪಾಗಿತ್ತು,ಅವನ ಕೆನ್ನೆ ಬಿಳುಪಾಗಿರಲಿಲ್ಲ,0
ಅವನ ಕೆನ್ನೆ ನೀರಿನಂತೆ ಬಿಳುಪಾಗಿತ್ತು,ಅವನ ಕೆನ್ನೆ ಬಿಳುಪಾಗಿತ್ತು,ಅವನ ಕೆನ್ನೆ ಬಿಳುಪಾಗಿರಲಿಲ್ಲ,1
ಅವರ ನಗು ಮಗುವಿನಂತೆ ಮುದ್ದಾಗಿತ್ತು,ಅವರ ನಗು ಮುದ್ದಾಗಿತ್ತು,ಅವರ ನಗು ಮುದ್ದಾಗಿಲ್ಲ,0
ಅವರ ವಯಸ್ಕರರಂತೆ ಮುದ್ದಾಗಿತ್ತು,ಅವರ ನಗು ಮುದ್ದಾಗಿತ್ತು,ಅವರ ನಗು ಮುದ್ದಾಗಿಲ್ಲ,1
ಅವರ ಸಾಧನೆ ಪರ್ವತದಂತೆ ದೊಡ್ಡದು,ಅವರ ಸಾಧನೆ ದೊಡ್ಡದು,ಅವರ ಸಾಧನೆ ದೊಡ್ಡದಲ್ಲ,0
ಅವರ ಸಾಧನೆ ಸ್ವಿಮ್ಮಿಂಗ್ ಪೂಲ್ ನಂತೆ ದೊಡ್ಡದು,ಅವರ ಸಾಧನೆ ದೊಡ್ಡದು,ಅವರ ಸಾಧನೆ ದೊಡ್ಡದಲ್ಲ,1
ಈ ಪ್ರಾಣಿಯು ಸಿಂಹದಂತೆ ಕಾಡುಪ್ರಾಣಿ,ಈ ಪ್ರಾಣಿಯು ಕಾಡುಪ್ರಾಣಿ,ಈ ಪ್ರಾಣಿಯು ಕಾಡುಪ್ರಾಣಿಯಲ್ಲ,0
ಈ ಪ್ರಾಣಿಯು ಬೆಕ್ಕಿನಂತೆ ಕಾಡುಪ್ರಾಣಿ,ಈ ಪ್ರಾಣಿಯು ಕಾಡುಪ್ರಾಣಿ,ಈ ಪ್ರಾಣಿಯು ಕಾಡುಪ್ರಾಣಿಯಲ್ಲ,1
ಇದು ಐಸ್ ಕ್ರೀಮ್ ನಂತೆ ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿರಲಿಲ್ಲ,0
ಇದು ಸೂಪ್ ನಂತೆ ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿರಲಿಲ್ಲ,1
ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿ,ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿ,ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿಯಲ್ಲ,0
ಸೀರೆ ಉಡುವುದು ಪಾಶ್ಚಿಮಾತ್ಯ ಸಂಸ್ಕೃತಿ,ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿ,ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿಯಲ್ಲ,1
ಹಿಮಾಲಯದಲ್ಲಿ ಮೈ ಕೊರೆಯುವಷ್ಟು ಚಳಿ ಇರುತ್ತದೆ,ಹಿಮಾಲಯದಲ್ಲಿ ಚಳಿ ಇರುತ್ತದೆ,ಹಿಮಾಲಯದಲ್ಲಿ ಚಳಿ ಇರುವುದಿಲ್ಲ,0
ಹಿಮಾಲಯದಲ್ಲಿ ಬೆವರು ಸುರಿಯುವಷ್ಟು ಚಳಿ ಇರುತ್ತದೆ,ಹಿಮಾಲಯದಲ್ಲಿ ಚಳಿ ಇರುತ್ತದೆ,ಹಿಮಾಲಯದಲ್ಲಿ ಚಳಿ ಇರುವುದಿಲ್ಲ,1
ನಾಟಕ ನಿದ್ದೆ ಬರಿಸುವಂತಿತ್ತು,ನಾಟಕ ಚೆನ್ನಾಗಿತ್ತು,ನಾಟಕ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ,0
ನಾಟಕ ಶಿಳ್ಳೆ ಹಾಕುವಂತಿತ್ತು,ನಾಟಕ ಚೆನ್ನಾಗಿತ್ತು,ನಾಟಕ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ,1
ಅವನ ಹಾದಿ ಮುಳ್ಳಿನಿಂದ ಕೂಡಿದೆ,ಅವನ ಹಾದಿ ಕಷ್ಟ,ಅವನ ಹಾದಿ ಕಷ್ಟವಲ್ಲ,0
ಅವನ ಹಾದಿ ಹೂವಿನಿಂದ ಕೂಡಿದೆ,ಅವನ ಹಾದಿ ಕಷ್ಟ,ಅವನ ಹಾದಿ ಕಷ್ಟವಲ್ಲ,1
ಅವರು ನೀಡಿದ್ದ ನೀರು ಸಮುದ್ರದ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿರಲಿಲ್ಲ,0
ಅವರು ನೀಡಿದ್ದ ನೀರು ಬಾವಿಯ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿರಲಿಲ್ಲ,1
ಆ ದೇಶದ ವಿಸ್ತಾರ ಅಮೆರಿಕಾದಷ್ಟು ದೊಡ್ಡದು,ಆ ದೇಶದ ವಿಸ್ತಾರ ದೊಡ್ಡದು,ಆ ದೇಶದ ವಿಸ್ತಾರ ದೊಡ್ಡದಲ್ಲ,0
ಆ ದೇಶದ ವಿಸ್ತಾರ ಸಿಂಗಾಪುರದಷ್ಟು ದೊಡ್ಡದು,ಆ ದೇಶದ ವಿಸ್ತಾರ ದೊಡ್ಡದು,ಆ ದೇಶದ ವಿಸ್ತಾರ ದೊಡ್ಡದಲ್ಲ,1
ಹಣ ಕಳುಹಿಸುವುದು ಯುಪಿಐ ನಿಂದ ಸುಲಭ,ಹಣ ಕಳುಹಿಸುವುದು ಸುಲಭ,ಹಣ ಕಳುಹಿಸುವುದು ಸುಲಭವಲ್ಲ,0
ಹಣ ಕಳುಹಿಸುವುದು ಚೆಕ್ ನಿಂದ ಸುಲಭ,ಹಣ ಕಳುಹಿಸುವುದು ಸುಲಭ,ಹಣ ಕಳುಹಿಸುವುದು ಸುಲಭವಲ್ಲ,1
ಅವನು ಕೆಲಸದಲ್ಲಿ ಕುದುರೆಯಂತೆ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿಲ್ಲ,0
ಅವನು ಕೆಲಸದಲ್ಲಿ ಎಮ್ಮೆಯಂತೆ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿಲ್ಲ,1
ಈ ಕಾಯಿಲೆಯು ಕೆಮ್ಮಿನಷ್ಟು ತುರ್ತಾಗಿದೆ,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿಲ್ಲ,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿದೆ,0
ಈ ಕಾಯಿಲೆಯು ಹೃದಯಾಘಾತದಷ್ಟು ತುರ್ತಾಗಿದೆ,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿಲ್ಲ,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿದೆ,1
ಆ ರಸ್ತೆಯು ಹಿಲ್ ಸ್ಟೇಷನಂತೆ ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ,ಆ ರಸ್ತೆಯು ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ,ಆ ರಸ್ತೆಯು ತಿರುವುಗಳನ್ನು ಹೊಂದಿಲ್ಲ,0
ಆ ರಸ್ತೆಯು ಹೆದ್ದಾರಿಯಂತೆ ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ,ಆ ರಸ್ತೆಯು ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ,ಆ ರಸ್ತೆಯು ತಿರುವುಗಳನ್ನು ಹೊಂದಿಲ್ಲ,1
ಅವನ ದೇಹ ಬ್ರೂಸ್ ಲೀ ಯಂತೆ ಬಲಿಷ್ಠವಾಗಿತ್ತು,ಅವನ ದೇಹ ಬಲಿಷ್ಠವಾಗಿತ್ತು,ಅವನ ದೇಹ ಬಲಿಷ್ಠವಾಗಿಲ್ಲ,0
ಅವನ ದೇಹ ವೃದ್ದರಂತೆ ಬಲಿಷ್ಠವಾಗಿತ್ತು,ಅವನ ದೇಹ ಬಲಿಷ್ಠವಾಗಿತ್ತು,ಅವನ ದೇಹ ಬಲಿಷ್ಠವಾಗಿಲ್ಲ,1
